net,length_um
_02574_,102.32µm
_01920_,102.28µm
_12662_,102.22µm
_00981_,102.1µm
_11062_,101.995µm
net411,101.96µm
_15093_,101.74µm
_04568_,101.63µm
_02889_,101.55µm
_01617_,101.49µm
_11089_,101.34µm
net475,101.21µm
_00731_,101µm
net326,100.98µm
_06296_,100.87µm
net427,100.85µm
expmiddlec\[5\],100.72µm
net102,100.72µm
_08778_,100.7µm
_14274_,100.45µm
_10889_,100.37µm
_00288_,100.34µm
net243,100.26µm
clknet_leaf_15_clk,100.2µm
net456,100.16µm
_04372_,100.105µm
net357,100.1µm
mantisaresult\[14\],99.99µm
_01055_,99.82µm
_03464_,99.82µm
_12262_,99.8µm
_08498_,99.58µm
_00440_,99.44µm
net442,99.24µm
_00398_,99.2µm
clknet_leaf_28_clk,99.16µm
_13371_,99.095µm
_00588_,99.07µm
net917,99.06µm
net509,99.04µm
net309,98.97µm
net144,98.94µm
_11797_,98.92µm
_02876_,98.76µm
_04478_,98.76µm
_14197_,98.7µm
mantisaB0\[21\],98.7µm
_00377_,98.62µm
_00383_,98.595µm
_01217_,98.34µm
_00746_,98.24µm
net460,98.13µm
_11532_,98.08µm
net98,98.06µm
_11935_,98µm
_13482_,97.98µm
_11756_,97.82µm
_14310_,97.8µm
_15019_,97.63µm
_15133_,97.5µm
net284,97.5µm
net136,97.26µm
_08716_,97.21µm
net938,97.2µm
_03471_,97.015µm
_02428_,96.88µm
net356,96.68µm
net124,96.67µm
_01194_,96.64µm
_12780_,96.56µm
_06237_,96.52µm
_00562_,96.42µm
net674,96.345µm
_13836_,96.25µm
_14959_,96.25µm
_02836_,96.18µm
net394,96.06µm
net187,96.02µm
net409,96µm
net265,95.98µm
_13011_,95.96µm
_15003_,95.86µm
_03038_,95.84µm
_13616_,95.78µm
_15073_,95.7µm
_12081_,95.66µm
_11783_,95.56µm
net873,95.52µm
_13794_,95.48µm
net346,95.42µm
net664,95.4µm
_10198_,95.3µm
net1047,95.24µm
net1006,95.22µm
net241,95.17µm
_09564_,95.15µm
clknet_leaf_21_clk,95.04µm
_08216_,95µm
_03751_,94.92µm
_10900_,94.9µm
_00933_,94.8µm
_12671_,94.7µm
_12656_,94.68µm
mantisaAshift\[61\],94.66µm
net141,94.66µm
_11059_,94.64µm
_08573_,94.62µm
_04379_,94.56µm
_03344_,94.54µm
_14142_,94.48µm
net981,94.38µm
net999,94.32µm
mantisaresult\[49\],94.16µm
_08777_,93.9µm
net381,93.86µm
_10689_,93.66µm
_12507_,93.605µm
_14708_,93.33µm
_04279_,93.32µm
net334,93.32µm
_14682_,93.26µm
_00738_,93.14µm
_12134_,93.075µm
clknet_leaf_19_clk,93.02µm
_05120_,93µm
_11934_,92.96µm
_11630_,92.94µm
net227,92.88µm
_00754_,92.84µm
net398,92.81µm
_04371_,92.68µm
net389,92.51µm
_02568_,92.46µm
_11036_,92.44µm
net667,92.44µm
_14728_,92.26µm
net335,91.94µm
_12126_,91.88µm
clknet_leaf_37_clk,91.84µm
_01043_,91.82µm
_02300_,91.82µm
net495,91.78µm
_13509_,91.75µm
net297,91.7µm
net244,91.68µm
_01647_,91.52µm
_04671_,91.48µm
_14716_,91.34µm
_11895_,91.32µm
net276,91.26µm
_06356_,91.2µm
_10682_,91.17µm
_08934_,91.1µm
_03564_,91.04µm
_12044_,91.02µm
_00702_,91µm
net121,90.97µm
net360,90.84µm
_04399_,90.79µm
net395,90.73µm
_06864_,90.6µm
net401,90.52µm
_04176_,90.4µm
mantisaAshift\[55\],90.36µm
net150,90.3µm
net184,90.04µm
_02049_,89.98µm
_02825_,89.81µm
_00556_,89.8µm
net561,89.735µm
_10258_,89.62µm
_00986_,89.585µm
_14147_,89.57µm
_00594_,89.5µm
net476,89.44µm
net826,89.34µm
mantisaresult\[53\],89.06µm
_12755_,88.875µm
net510,88.84µm
_00710_,88.78µm
net217,88.62µm
net945,88.62µm
net223,88.6µm
net466,88.58µm
_11137_,88.5µm
net534,88.475µm
_09009_,88.32µm
_11514_,88.2µm
_03429_,88.14µm
_13149_,88.11µm
net1014,88.09µm
_13010_,88.04µm
net397,88.02µm
_12543_,87.86µm
_02109_,87.74µm
