net,length_um
net93,24.9µm
value1[4],24.87µm
_1376_,24.8µm
_1939_,24.64µm
_1783_,24.62µm
_1138_,24.26µm
array\[13\]\[10\],24.24µm
_0507_,24.085µm
array\[15\]\[10\],24.045µm
_1613_,23.895µm
_1707_,23.89µm
_0615_,23.86µm
_0856_,23.84µm
_1737_,23.84µm
_1024_,23.7µm
_1059_,23.68µm
out[15],23.67µm
_2039_,23.595µm
_0602_,23.54µm
array\[0\]\[0\],23.54µm
_1184_,23.52µm
net121,23.5µm
array\[15\]\[21\],23.485µm
_1755_,23.44µm
_2033_,23.42µm
_0395_,23.38µm
_1917_,23.36µm
_2012_,23.3µm
_0273_,23.225µm
net977,23.14µm
array\[15\]\[22\],23.12µm
net1195,23.12µm
array\[8\]\[9\],23.06µm
_1701_,22.92µm
_1581_,22.68µm
net824,22.66µm
_1310_,22.64µm
array\[15\]\[25\],22.565µm
_1988_,22.52µm
ready_check\[15\],22.42µm
value2[25],22.31µm
array\[5\]\[17\],22.3µm
_1367_,22.16µm
array\[10\]\[27\],22.16µm
_0511_,22.14µm
_0346_,22.12µm
_2104_,22.1µm
_0543_,22.085µm
_1840_,22.02µm
_1961_,21.92µm
_0409_,21.845µm
_1963_,21.78µm
array\[13\]\[24\],21.76µm
value0[26],21.68µm
_1876_,21.66µm
_1817_,21.6µm
array\[13\]\[4\],21.46µm
array\[6\]\[18\],21.46µm
net136,21.38µm
array\[13\]\[23\],21.34µm
value0[15],21.21µm
_1911_,21.16µm
_0784_,21.14µm
array\[6\]\[0\],21.08µm
_1858_,20.92µm
array\[0\]\[30\],20.88µm
value2[12],20.76µm
_0786_,20.6µm
array\[12\]\[23\],20.56µm
net82,20.56µm
_0590_,20.46µm
_0714_,20.46µm
_1500_,20.44µm
value0[25],20.43µm
array\[2\]\[0\],20.42µm
_1178_,20.4µm
_1509_,20.4µm
_1930_,20.38µm
array\[2\]\[6\],20.38µm
array\[7\]\[6\],20.38µm
_1147_,20.34µm
_0857_,20.32µm
value1[25],20.31µm
_1869_,20.28µm
value1[12],20.22µm
_0342_,20.165µm
_1809_,20.16µm
net1277,20.16µm
_1719_,20.04µm
array\[3\]\[24\],20.02µm
_1956_,20µm
_1977_,19.98µm
_1601_,19.96µm
value0[12],19.92µm
_1980_,19.9µm
value2[17],19.84µm
_0708_,19.82µm
_1437_,19.8µm
array\[10\]\[25\],19.8µm
_1066_,19.7µm
_2090_,19.7µm
_1137_,19.69µm
_0658_,19.64µm
_0731_,19.58µm
array\[5\]\[8\],19.54µm
array\[6\]\[2\],19.44µm
_1328_,19.4µm
_1678_,19.4µm
_2127_,19.37µm
array\[14\]\[23\],19.36µm
_1968_,19.3µm
_1258_,19.28µm
array\[6\]\[17\],19.28µm
_0360_,19.26µm
_2021_,19.26µm
_0625_,19.2µm
array\[6\]\[9\],19.19µm
_1330_,19.16µm
_1224_,19.155µm
_0763_,19.08µm
_2135_,19.04µm
array\[0\]\[5\],19.02µm
value1[17],18.92µm
out[4],18.91µm
_0733_,18.9µm
_1730_,18.84µm
array\[15\]\[28\],18.835µm
_1013_,18.82µm
value0[8],18.79µm
_0593_,18.78µm
array\[15\]\[3\],18.745µm
_0163_,18.725µm
_1644_,18.68µm
_1159_,18.58µm
_1139_,18.54µm
_1754_,18.48µm
array\[15\]\[15\],18.425µm
_1541_,18.4µm
_1909_,18.4µm
_0091_,18.38µm
_2044_,18.38µm
_0465_,18.285µm
value2[16],18.22µm
_0933_,18.18µm
_1457_,18.18µm
_2152_,18.18µm
_0831_,18.16µm
net1278,18.14µm
_1557_,18.08µm
_1767_,18.08µm
array\[7\]\[0\],18.005µm
_1026_,18µm
_1197_,17.98µm
_1897_,17.92µm
array\[1\]\[6\],17.9µm
net126,17.9µm
array\[7\]\[14\],17.865µm
_1395_,17.82µm
ready_check\[2\],17.765µm
