net,length_um
_1248_,23.54µm
_0384_,23.52µm
_1697_,23.52µm
_0404_,23.5µm
_1185_,23.42µm
_0468_,23.4µm
_1510_,23.4µm
_1346_,23.38µm
_1232_,23.34µm
_1591_,23.32µm
_0534_,23.22µm
_1705_,23.22µm
_0893_,23.16µm
_1578_,23.06µm
net308,23µm
_1563_,22.98µm
_0824_,22.96µm
_1773_,22.96µm
net45,22.96µm
net345,22.96µm
net64,22.92µm
_0526_,22.8µm
_0961_,22.8µm
_1774_,22.8µm
_0235_,22.745µm
net342,22.7µm
_0376_,22.68µm
_1489_,22.62µm
mantisaBshift\[12\],22.62µm
_1904_,22.56µm
net84,22.54µm
_1451_,22.52µm
_1613_,22.5µm
expmiddled\[6\],22.48µm
_1459_,22.46µm
_0901_,22.38µm
net28,22.3µm
_0503_,22.28µm
_0870_,22.28µm
_1173_,22.28µm
net326,22.24µm
_1730_,22.2µm
_1425_,22.18µm
_0533_,22.16µm
_0747_,22.12µm
_1403_,22.12µm
net301,22.04µm
_1880_,22.02µm
_1025_,21.96µm
mantisaBshift\[23\],21.96µm
_0570_,21.9µm
_1335_,21.88µm
net50,21.87µm
expadd\[6\],21.82µm
mantisaB0\[20\],21.78µm
mantisaBshift\[27\],21.76µm
_1596_,21.66µm
_1696_,21.66µm
_0839_,21.62µm
_0479_,21.58µm
_1001_,21.58µm
_1444_,21.58µm
_1595_,21.54µm
net77,21.54µm
net39,21.52µm
mantisaBshift\[59\],21.5µm
_0433_,21.4µm
_0585_,21.4µm
_0698_,21.4µm
mantisaBshift\[24\],21.32µm
_0618_,21.28µm
mantisaAshift\[49\],21.25µm
net302,21.22µm
_0399_,21.2µm
mantisaBshift\[1\],21.14µm
_1218_,21.12µm
_0318_,21.02µm
_0096_,20.995µm
_0216_,20.995µm
_1045_,20.98µm
net40,20.96µm
_0801_,20.94µm
net37,20.88µm
_1178_,20.85µm
_0944_,20.8µm
_1338_,20.78µm
_1767_,20.74µm
_0417_,20.7µm
_0749_,20.66µm
net55,20.66µm
_0985_,20.64µm
_1272_,20.64µm
mantisa[19],20.59µm
net38,20.565µm
four_man\[55\],20.56µm
_1413_,20.52µm
expadd\[2\],20.5µm
mantisaB0\[2\],20.5µm
_0888_,20.46µm
_0476_,20.34µm
